Event,Round,White,Black,Result,WhiteElo,WhiteTitle,WhiteFideId,BlackElo,BlackTitle,BlackFideId,Variant,ECO,Opening,Move Number,Move,Color,Evaluation,Time
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",4,Bf5,Black,0.78,1:26:52
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",5,Nh4,White,0.56,1:26:10
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",5,Bd7,Black,0.53,1:27:06
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",6,e4,White,0.52,1:26:33
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",6,e5,Black,0.48,1:26:09
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",7,Nf3,White,0.43,1:24:57
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",7,exd4,Black,0.51,1:24:41
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",8,Nxd4,White,0.59,1:25:21
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",8,Bg7,Black,0.56,1:24:51
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",9,Be2,White,0.65,1:25:08
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",9,O-O,Black,0.62,1:25:07
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",10,O-O,White,0.56,1:24:34
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",10,Re8,Black,0.6,1:23:03
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",11,f3,White,0.69,1:22:01
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",11,Nc6,Black,0.67,1:23:10
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",12,Nc2,White,0.6,1:21:54
"Round 1: Masague Artero, Guerau - Martin Barcelo, Carles",1.2,"Masague Artero, Guerau","Martin Barcelo, Carles",0-1,2345,FM,32098952,2234,FM,24561444,Standard,A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",12,Nh5,Black,0.65,1:20:18
